Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner,Reviewed
2025-02-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-02-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-02-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-140.00,,Shared,
2025-02-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-02-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-02-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-02-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-02-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-02-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-02-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-02-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-02-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-01-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-01-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-01-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-01-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-01-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-55.00,,Shared,
2025-01-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-01-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-01-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-01-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-01-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-01-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-01-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-01-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-01-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-01-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-140.00,,Shared,
2025-01-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-01-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-01-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-01-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-01-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-01-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-01-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-01-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-01-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
